id,tier,category,question,eval_mode,passed,exec_success,blocked,error,predicted_sql,gold_sql,retries,latency_s,actual_rows,expected_rows,failure_reason
A01,A,single_table,How many artists are in the database?,exec_match,True,True,False,,SELECT COUNT(ArtistId) AS artist_count FROM Artist;,SELECT COUNT(*) AS cnt FROM Artist;,0,4.311,1,,
A02,A,single_table,"List all genre names, sorted alphabetically.",exec_match,True,True,False,,SELECT Name FROM Genre ORDER BY Name;,SELECT Name FROM Genre ORDER BY Name;,0,1.336,25,,
A03,A,single_table,How many tracks are in the database?,exec_match,True,True,False,,SELECT COUNT(*) AS track_count FROM Track;,SELECT COUNT(*) AS cnt FROM Track;,0,1.395,1,,
A04,A,single_table,Show the 10 longest tracks by duration in milliseconds.,row_count,True,True,False,,"SELECT TrackId, Name, Milliseconds AS DurationMs
FROM Track
ORDER BY Milliseconds DESC
LIMIT 10;","SELECT Name, Milliseconds FROM Track ORDER BY Milliseconds DESC LIMIT 10;",0,1.814,10,10,
A05,A,single_table,What are the distinct billing countries in the invoices?,exec_match,True,True,False,,SELECT DISTINCT BillingCountry FROM Invoice;,SELECT DISTINCT BillingCountry FROM Invoice ORDER BY BillingCountry;,0,1.866,24,,
A06,A,aggregation,What is the total revenue from all invoices?,exec_match_rounded,True,True,False,,SELECT SUM(Total) AS total_revenue FROM Invoice;,"SELECT ROUND(SUM(Total), 2) AS TotalRevenue FROM Invoice;",0,1.608,1,,
A07,A,aggregation,What is the average track length in milliseconds?,exec_match_rounded,True,True,False,,SELECT AVG(Milliseconds) AS avg_track_length FROM Track;,"SELECT ROUND(AVG(Milliseconds), 2) AS AvgLength FROM Track;",0,1.503,1,,
A08,A,aggregation,What is the average unit price of all tracks?,exec_match_rounded,True,True,False,,SELECT AVG(UnitPrice) AS avg_price FROM Track;,"SELECT ROUND(AVG(UnitPrice), 2) AS AvgPrice FROM Track;",0,1.44,1,,
A09,A,single_table,Show the top 5 most expensive tracks by unit price.,row_count,True,True,False,,"SELECT TrackId, Name, UnitPrice FROM Track ORDER BY UnitPrice DESC LIMIT 5","SELECT Name, UnitPrice FROM Track ORDER BY UnitPrice DESC LIMIT 5;",0,1.416,5,5,
A10,A,single_table,How many employees are there?,exec_match,True,True,False,,SELECT COUNT(EmployeeId) AS employee_count FROM Employee;,SELECT COUNT(*) AS cnt FROM Employee;,0,1.56,1,,
A11,A,single_table,List all customers from Brazil.,exec_match,False,True,False,,"SELECT CustomerId, FirstName, LastName FROM Customer WHERE Country = 'Brazil';","SELECT FirstName, LastName, Email FROM Customer WHERE Country = 'Brazil';",0,1.698,5,,value_mismatch
A12,A,single_table,How many invoices were billed to the city of Paris?,exec_match,True,True,False,,SELECT COUNT(InvoiceId) AS invoice_count FROM Invoice WHERE BillingCity = 'Paris';,SELECT COUNT(*) AS cnt FROM Invoice WHERE BillingCity = 'Paris';,0,1.76,1,,
A13,A,single_table,Show the 5 invoices with the largest total amount.,row_count,True,True,False,,"SELECT InvoiceId, CustomerId, InvoiceDate, Total FROM Invoice ORDER BY Total DESC LIMIT 5","SELECT InvoiceId, Total FROM Invoice ORDER BY Total DESC LIMIT 5;",0,1.713,5,5,
A14,A,single_table,How many albums are in the database?,exec_match,True,True,False,,SELECT COUNT(AlbumId) AS album_count FROM Album;,SELECT COUNT(*) AS cnt FROM Album;,0,1.42,1,,
A15,A,single_table,List all distinct media type names.,exec_match,True,True,False,,SELECT DISTINCT Name FROM MediaType;,SELECT Name FROM MediaType ORDER BY Name;,0,1.312,5,,
A16,A,aggregation,What is the minimum and maximum invoice total?,exec_match_rounded,True,True,False,,"SELECT MIN(Total) AS min_total, MAX(Total) AS max_total FROM Invoice;","SELECT MIN(Total) AS MinTotal, MAX(Total) AS MaxTotal FROM Invoice;",0,1.87,1,,
A17,A,single_table,How many tracks are longer than 5 minutes (300000 milliseconds)?,exec_match,True,True,False,,SELECT COUNT(TrackId) AS track_count FROM Track WHERE Milliseconds > 300000;,SELECT COUNT(*) AS cnt FROM Track WHERE Milliseconds > 300000;,0,1.663,1,,
A18,A,single_table,List all employees who have the title 'Sales Support Agent'.,exec_match,False,True,False,,"SELECT EmployeeId, FirstName, LastName FROM Employee WHERE Title = 'Sales Support Agent';","SELECT FirstName, LastName FROM Employee WHERE Title = 'Sales Support Agent';",0,1.7,3,,value_mismatch
A19,A,single_table,Show all playlists ordered by name.,exec_match,False,True,False,,"SELECT PlaylistId, Name FROM Playlist ORDER BY Name;",SELECT Name FROM Playlist ORDER BY Name;,0,1.44,18,,row_count_18_vs_14
A20,A,aggregation,"How many customers are in each country? Show country and count, ordered by count descending.",exec_match,True,True,False,,"SELECT Country, COUNT(CustomerId) AS customer_count FROM Customer GROUP BY Country ORDER BY customer_count DESC;","SELECT Country, COUNT(*) AS cnt FROM Customer GROUP BY Country ORDER BY cnt DESC;",0,1.781,24,,
A21,A,single_table,List all tracks that belong to the genre with GenreId = 1.,exec_match,False,True,False,,"SELECT TrackId, Name FROM Track WHERE GenreId = 1;",SELECT Name FROM Track WHERE GenreId = 1;,0,1.488,1297,,row_count_1297_vs_1213
A22,A,aggregation,What is the total number of invoices?,exec_match,True,True,False,,SELECT COUNT(*) AS total_invoices FROM INVOICE;,SELECT COUNT(*) AS cnt FROM Invoice;,0,1.587,1,,
A23,A,single_table,Show the 3 shortest tracks by milliseconds.,row_count,True,True,False,,"SELECT TrackId, Name, Milliseconds FROM Track ORDER BY Milliseconds ASC LIMIT 3;","SELECT Name, Milliseconds FROM Track ORDER BY Milliseconds ASC LIMIT 3;",0,1.744,3,3,
A24,A,aggregation,How many tracks are in each media type? Show media type ID and count.,exec_match,True,True,False,,"SELECT MediaTypeId, COUNT(TrackId) AS track_count FROM Track GROUP BY MediaTypeId;","SELECT MediaTypeId, COUNT(*) AS cnt FROM Track GROUP BY MediaTypeId ORDER BY cnt DESC;",0,1.496,5,,
A25,A,single_table,Find all customers whose company name is not null.,exec_match,False,True,False,,"SELECT CustomerId, FirstName, LastName, Company FROM Customer WHERE Company IS NOT NULL;","SELECT FirstName, LastName, Company FROM Customer WHERE Company IS NOT NULL;",0,1.702,10,,value_mismatch
